Date,Open,High,Low,Close,Adj Close,Volume
2022-05-11,77.271400,77.518501,77.154503,77.271400,77.271400,0
2022-05-12,77.418404,77.725998,77.278999,77.418404,77.418404,0
2022-05-13,77.443802,77.558502,77.256798,77.443802,77.443802,0
2022-05-16,77.486298,77.913498,77.480003,77.486298,77.486298,0
2022-05-17,77.805397,78.023804,77.369003,77.805397,77.805397,0
2022-05-18,77.372398,77.745003,77.276497,77.372398,77.372398,0
2022-05-19,77.820000,78.009804,77.213501,77.820000,77.820000,0
2022-05-20,77.421097,77.820503,77.344498,77.421097,77.421097,0
2022-05-23,77.818398,77.969803,77.420799,77.818398,77.818398,0
2022-05-24,77.526802,77.665001,77.498497,77.526802,77.526802,0
2022-05-25,77.478798,77.748001,77.434998,77.478798,77.478798,0
2022-05-26,77.497299,77.723999,77.468498,77.497299,77.497299,0
2022-05-27,77.630203,77.899597,77.527000,77.630203,77.630203,0
2022-05-30,77.692001,77.829498,77.462799,77.692001,77.692001,0
2022-05-31,77.520897,77.735298,77.552803,77.520897,77.520897,0
2022-06-01,77.598999,77.941704,77.436501,77.598999,77.598999,0
2022-06-02,77.584099,77.816498,77.386200,77.584099,77.584099,0
2022-06-03,77.360497,77.686401,77.389801,77.360497,77.360497,0
2022-06-06,77.694199,77.846100,77.547501,77.694199,77.694199,0
2022-06-07,77.820999,78.059799,77.588997,77.820999,77.820999,0
2022-06-08,77.670601,77.906303,77.596001,77.670601,77.670601,0
2022-06-09,77.724297,77.982002,77.676498,77.724297,77.724297,0
2022-06-10,77.818703,78.193802,77.734497,77.818703,77.818703,0
2022-06-13,78.177597,78.406799,77.956001,78.177597,78.177597,0
2022-06-14,78.160599,78.363800,77.929001,78.160599,78.160599,0
2022-06-15,77.985497,78.218498,77.964996,77.985497,77.985497,0
2022-06-16,77.900200,78.264801,77.882004,77.900200,77.900200,0
2022-06-17,77.977699,78.189499,77.937401,77.977699,77.977699,0
2022-06-20,77.961403,78.172501,77.859901,77.961403,77.961403,0
2022-06-21,77.933998,78.272797,77.872498,77.933998,77.933998,0
2022-06-22,78.134903,78.400803,78.070099,78.134903,78.134903,0
2022-06-23,78.193100,78.419502,78.139999,78.193100,78.193100,0
2022-06-24,78.142403,78.358002,78.118500,78.142403,78.142403,0
2022-06-27,78.252296,78.562500,78.158501,78.252296,78.252296,0
2022-06-28,78.441101,79.039497,78.410500,78.441101,78.441101,0
2022-06-29,79.073196,79.073601,78.602402,79.073196,79.073196,0
2022-06-30,78.898300,79.108002,78.838699,78.898300,78.898300,0
2022-07-01,78.962997,79.191002,78.473000,78.962997,78.962997,0
2022-07-04,78.950699,79.045303,78.846497,78.950699,78.950699,0
2022-07-05,78.939499,79.420998,78.914497,78.939499,78.939499,0
2022-07-06,79.368401,79.548302,78.929901,79.368401,79.368401,0
2022-07-07,79.043900,79.250000,78.877998,79.043900,79.043900,0
2022-07-08,79.221603,79.422798,79.110497,79.221603,79.221603,0
2022-07-11,79.331398,79.577103,79.141998,79.331398,79.331398,0
2022-07-12,79.477798,79.860298,79.388496,79.477798,79.477798,0
2022-07-13,79.476402,80.059502,79.425003,79.476402,79.476402,0
2022-07-14,79.807503,80.218697,79.598099,79.807503,79.807503,0
2022-07-15,79.878304,80.089500,79.708000,79.878304,79.878304,0
2022-07-18,79.720497,80.255997,79.713699,79.720497,79.720497,0
2022-07-19,80.030296,80.148499,79.852600,80.030296,80.030296,0
2022-07-20,79.855904,80.118500,79.855904,79.855904,79.855904,0
2022-07-21,80.003403,80.271004,79.761002,80.003403,80.003403,0
2022-07-22,79.775902,80.076500,79.779297,79.775902,79.775902,0
2022-07-25,79.876801,80.144798,79.686096,79.876801,79.876801,0
2022-07-26,79.722504,79.842201,79.702499,79.722504,79.722504,0
2022-07-27,79.841202,80.070801,79.747498,79.841202,79.841202,0
2022-07-28,79.847397,80.057297,79.597397,79.847397,79.847397,0
2022-07-29,79.571503,79.656502,79.173698,79.571503,79.571503,0
2022-08-01,79.194801,79.429802,78.899399,79.194801,79.194801,0
2022-08-02,78.955704,79.169998,77.774300,78.955704,78.955704,0
2022-08-03,78.604500,79.203300,78.568001,78.604500,78.604500,0
2022-08-04,79.118301,79.800003,79.008499,79.118301,79.118301,0
2022-08-05,79.154900,79.491997,78.918503,79.154900,79.154900,0
2022-08-08,79.410599,79.757004,79.313004,79.410599,79.410599,0
2022-08-09,79.601898,79.814697,79.442101,79.601898,79.601898,0
2022-08-10,79.578400,79.754501,79.007004,79.578400,79.578400,0
2022-08-11,79.097801,79.792297,79.049500,79.097801,79.097801,0
2022-08-12,79.613998,79.936996,79.556000,79.613998,79.613998,0
2022-08-15,79.627602,79.728500,79.470802,79.627602,79.627602,0
